Index,Coefficient
0,-0.00432260843655075
1,0.00126829795277946
2,0.00115269053274531
3,0.00107598162052221
4,0.00101990842928241
5,0.000967867706415178
6,0.000907108411707654
7,0.000829049151238941
8,0.000730010831350878
9,0.00061078955281542
10,0.000476455959075922
11,0.000337549254902152
12,0.00021156055035036
13,0.000122721686177599
14,8.92152983398879E-05
15,0.000107618397551578
16,0.000216831624874895
17,0.000402391622127499
18,0.000667836410547534
19,0.000998474738838218
20,0.0013708891712971
21,0.00175186967153596
22,0.00209969640618314
23,0.00236770941227029
24,0.00250831410065998
25,0.00247614359941585
26,0.00223104530900866
27,0.00174251865547282
28,0.000998608793933937
29,6.3758871260373E-06
30,-0.00121371164894876
31,-0.00260794386178213
32,-0.0041105750763383
33,-0.0056324152205463
34,-0.00707144566684491
35,-0.00831631788540645
36,-0.00925322606548352
37,-0.00977466041638462
38,-0.00978815818447935
39,-0.00922394384961624
40,-0.00804168530202528
41,-0.00623690745677623
42,-0.00384714574807508
43,-0.000949974901087762
44,0.0023376602625957
45,0.00585809802059154
46,0.00942850886208682
47,0.0128423849989307
48,0.0158863346019402
49,0.0183505236072019
50,0.0200425423929635
51,0.0208014467898357
52,0.0205101191561789
53,0.0191051234253144
54,0.0165840601096194
55,0.0130102175911735
56,0.00851357062565269
57,0.00328386849475013
58,-0.00243491691116598
59,-0.00835598283518072
60,-0.0141681744311916
61,-0.0195485905307182
62,-0.0241856591376488
63,-0.0277952339535438
64,-0.0301392641772288
65,-0.0310419810318957
66,-0.0304021647091559
67,-0.0282011241753364
68,-0.0245064411335475
69,-0.0194710625625723
70,-0.0133268560059653
71,-0.00637101669072021
72,0.00104661976744012
73,0.0085446165445575
74,0.0157315022904606
75,0.0222257675363395
76,0.0276811068091888
77,0.0318035199982574
78,0.0343698359271657
79,0.0352410021018124
80,0.0343698359271657
81,0.0318035199982574
82,0.0276811068091888
83,0.0222257675363395
84,0.0157315022904606
85,0.0085446165445575
86,0.00104661976744012
87,-0.00637101669072021
88,-0.0133268560059653
89,-0.0194710625625723
90,-0.0245064411335475
91,-0.0282011241753364
92,-0.0304021647091559
93,-0.0310419810318957
94,-0.0301392641772288
95,-0.0277952339535438
96,-0.0241856591376488
97,-0.0195485905307182
98,-0.0141681744311916
99,-0.00835598283518072
100,-0.00243491691116598
101,0.00328386849475013
102,0.00851357062565269
103,0.0130102175911735
104,0.0165840601096194
105,0.0191051234253144
106,0.0205101191561789
107,0.0208014467898357
108,0.0200425423929635
109,0.0183505236072019
110,0.0158863346019402
111,0.0128423849989307
112,0.00942850886208682
113,0.00585809802059154
114,0.0023376602625957
115,-0.000949974901087762
116,-0.00384714574807508
117,-0.00623690745677623
118,-0.00804168530202528
119,-0.00922394384961624
120,-0.00978815818447935
121,-0.00977466041638462
122,-0.00925322606548352
123,-0.00831631788540645
124,-0.00707144566684491
125,-0.0056324152205463
126,-0.0041105750763383
127,-0.00260794386178213
128,-0.00121371164894876
129,6.3758871260373E-06
130,0.000998608793933937
131,0.00174251865547282
132,0.00223104530900866
133,0.00247614359941585
134,0.00250831410065998
135,0.00236770941227029
136,0.00209969640618314
137,0.00175186967153596
138,0.0013708891712971
139,0.000998474738838218
140,0.000667836410547534
141,0.000402391622127499
142,0.000216831624874895
143,0.000107618397551578
144,8.92152983398879E-05
145,0.000122721686177599
146,0.00021156055035036
147,0.000337549254902152
148,0.000476455959075922
149,0.00061078955281542
150,0.000730010831350878
151,0.000829049151238941
152,0.000907108411707654
153,0.000967867706415178
154,0.00101990842928241
155,0.00107598162052221
156,0.00115269053274531
157,0.00126829795277946
158,-0.00432260843655075
